term,en,pl
Puzzles/Part Names/CompareFifi part 1,this blue book,ta niebieska książka
Puzzles/Part Names/CompareFifi part 2,Freya,Freya
Puzzles/Part Names/CompareFifi part 3,Fifi,Fifi
Puzzles/Part Names/CompareFifi part 4,Fifi's watches,zegarki Fifi
Puzzles/Part Names/CompareFifi part 5,pink clothes,różowe ubrania
Puzzles/Part Names/CompareFifi part 6,Freya's pencil,ołówek Freyi
Puzzles/Part Names/CompareFifi part 7,the secret diary,tajny pamiętnik
Puzzles/Part Names/CompareFifi part 8,the metal lock,metalowy zamek
Puzzles/Part Names/CompareFifi part 9,the bookmark,zakładka do książki
Puzzles/Part Names/CompareFitz part 1,the pot and soil,donica i ziemia
Puzzles/Part Names/CompareFitz part 2,the blue part of the flower,niebieska część kwiatu
Puzzles/Part Names/CompareFitz part 3,the pink part of the flower,różowa część kwiatu
Puzzles/Part Names/CompareFitz part 4,the stem of the flower,łodyga kwiatu
Puzzles/Part Names/CompareFitz part 5,the heart on the pot,serce na donicy
Puzzles/Part Names/CompareFitz part 6,the pot and soil,donica i ziemia
Puzzles/Part Names/CompareFitz part 7,the gem-like fruit,owoc podobny do klejnotu
Puzzles/Part Names/CompareFitz part 8,the smaller fruit,mniejszy owoc
Puzzles/Part Names/CompareFitz part 9,the leaves on the plant,liście rośliny
Puzzles/Part Names/CompareFlora part 1,the painted knife,namalowany nóż
Puzzles/Part Names/CompareFlora part 10,a chick,pisklę
Puzzles/Part Names/CompareFlora part 11,a bookmark,zakładka do książki
Puzzles/Part Names/CompareFlora part 12,a plant,roślina
Puzzles/Part Names/CompareFlora part 2,Flora's arm,ramię Flory
Puzzles/Part Names/CompareFlora part 3,Flora's head,głowa Flory
Puzzles/Part Names/CompareFlora part 4,Flora's hair,włosy Flory
Puzzles/Part Names/CompareFlora part 5,the unfinished section,niedokończony fragment
Puzzles/Part Names/CompareFlora part 6,the pot plant,roślina w donicy
Puzzles/Part Names/CompareFlora part 7,a feather,pióro
Puzzles/Part Names/CompareFlora part 8,a bird,ptak
Puzzles/Part Names/CompareFlora part 9,a wing,skrzydło
Puzzles/Part Names/ComparePainting part 1,the yellow paint,żółta farba
Puzzles/Part Names/ComparePainting part 10,the potted plant,roślina w donicy
Puzzles/Part Names/ComparePainting part 2,the paintbrush handle,rączka pędzla
Puzzles/Part Names/ComparePainting part 3,the black paint,czarna farba
Puzzles/Part Names/ComparePainting part 4,the blood,krew
Puzzles/Part Names/ComparePainting part 5,brown and grey paint,brązowa i szara farba
Puzzles/Part Names/ComparePainting part 6,blood on the brush,krew na pędzlu
Puzzles/Part Names/ComparePainting part 7,this sketch,ten szkic
Puzzles/Part Names/ComparePainting part 8,Flora's head,głowa Flory
Puzzles/Part Names/ComparePainting part 9,the Inkdip feather,pióro Inkdip
Puzzles/Part Names/ComparePenny part 1,this yellow feather,to żółte pióro
Puzzles/Part Names/ComparePenny part 2,this orange feather,to pomarańczowe pióro
Puzzles/Part Names/ComparePenny part 3,this dark purple feather,to ciemnofioletowe pióro
Puzzles/Part Names/ComparePenny part 4,this pinkish feather,to różowawe pióro
Puzzles/Part Names/ComparePenny part 5,Penny's yellow bird,żółty ptak Penny
Puzzles/Part Names/ComparePenny part 6,Penny's purple and red bird,fioletowo-czerwony ptak Penny
Puzzles/Part Names/ComparePenny part 7,Penny's pale blue bird,jasnoniebieski ptak Penny
Puzzles/Part Names/ComparePenny part 8,the top of the cage,szczyt klatki
Puzzles/Part Names/ComparePoppy part 1,the pink cassette tape,różowa kaseta magnetofonowa
Puzzles/Part Names/ComparePoppy part 2,the message on the tape,wiadomość na kasecie
Puzzles/Part Names/ComparePoppy part 3,the crack on the tape,pęknięcie na kasecie
Puzzles/Part Names/ComparePoppy part 4,the pink cassette player,różowy odtwarzacz kasetowy
Puzzles/Part Names/ComparePoppy part 5,the blonde girl,blondwłosa dziewczyna
Puzzles/Part Names/ComparePoppy part 6,the hand gesture,gest dłonią
Puzzles/Part Names/TestMindGameFelix part 1,this red paint pot,ten czerwony pojemnik z farbą
Puzzles/Part Names/TestMindGameFelix part 2,blood,krew
Puzzles/Part Names/TestMindGameFelix part 3,all of the paint pots,wszystkie pojemniki z farbą
Puzzles/Part Names/TestMindGameFelix part 4,Freya's paint palette,paleta Freyi
Puzzles/Part Names/TestMindGameFelix part 5,Freya's paintbrush,pędzel Freyi
Puzzles/Part Names/TestMindGameFelix part 6,red paint,czerwona farba
Puzzles/Part Names/TestMindGameFelix part 7,Felix,Felix
Puzzles/Part Names/TestMindGameFelix part 8,lake water,woda z jeziora
Puzzles/Part Names/TestMindGameFifi part 1,Fifi,Fifi
Puzzles/Part Names/TestMindGameFifi part 2,personal secrets,osobiste sekrety
Puzzles/Part Names/TestMindGameFifi part 3,Freya,Freya
Puzzles/Part Names/TestMindGameFifi part 4,drawings,rysunki
Puzzles/Part Names/TestMindGameFifi part 5,sheet music,nuty
Puzzles/Part Names/TestMindGameFifi part 6,Poppy,Poppy
Puzzles/Part Names/TestMindGameFifi part 7,a secret letter,tajny list
Puzzles/Part Names/TestMindGameFifi part 8,paintings,obrazy
Puzzles/Part Names/TestMindGameFitz part 1,an ornate trowel,ozdobna łopatka
Puzzles/Part Names/TestMindGameFitz part 2,a potted flower,kwiat w donicy
Puzzles/Part Names/TestMindGameFitz part 3,a single feather,pojedyncze pióro
Puzzles/Part Names/TestMindGameFitz part 4,the potted fruit,owoc w donicy
Puzzles/Part Names/TestMindGameFitz part 5,a paintbrush,pędzel
Puzzles/Part Names/TestMindGameFitz part 6,Poppy,Poppy
Puzzles/Part Names/TestMindGameFitz part 7,Fitz,Fitz
Puzzles/Part Names/TestMindGameFitz part 8,Penny,Penny
Puzzles/Part Names/TestMindGameFlora part 1,the inkdip bird,ptak inkdip
Puzzles/Part Names/TestMindGameFlora part 2,a single feather,pojedyncze pióro
Puzzles/Part Names/TestMindGameFlora part 3,Fifi,Fifi
Puzzles/Part Names/TestMindGameFlora part 4,Felix,Felix
Puzzles/Part Names/TestMindGameFlora part 5,several birds,kilka ptaków
Puzzles/Part Names/TestMindGameFlora part 6,several feathers,kilka piór
Puzzles/Part Names/TestMindGameFlora part 7,Flora's egg,jajko Flory
Puzzles/Part Names/TestMindGameFlora part 8,the gramophone,gramofon
Puzzles/Part Names/TestMindGameFreya part 1,blood from the paint pot,krew z pojemnika z farbą
Puzzles/Part Names/TestMindGameFreya part 2,the painted inkdip feather,namalowane pióro inkdip
Puzzles/Part Names/TestMindGameFreya part 3,a feather found outside,pióro znalezione na zewnątrz
Puzzles/Part Names/TestMindGameFreya part 4,the ornate trowel,ozdobna łopatka
Puzzles/Part Names/TestMindGameFreya part 5,the painted Flora,namalowana Flora
Puzzles/Part Names/TestMindGameFreya part 6,a model of Felix,model Felixa
Puzzles/Part Names/TestMindGameFreya part 7,a real knife,prawdziwy nóż
Puzzles/Part Names/TestMindGameFreya part 8,paint from the paint pot,farba z pojemnika
Puzzles/Part Names/TestMindGameHawkshaw part 1,the handheld 'microscope',ręczny 'mikroskop'
Puzzles/Part Names/TestMindGameHawkshaw part 2,a telescopic lens,soczewka teleskopowa
Puzzles/Part Names/TestMindGameHawkshaw part 3,a microscopic lens,soczewka mikroskopowa
Puzzles/Part Names/TestMindGameHawkshaw part 4,a fake glass lens,fałszywa szklana soczewka
Puzzles/Part Names/TestMindGameHawkshaw part 5,Flora's egg,jajko Flory
Puzzles/Part Names/TestMindGameHawkshaw part 6,Fifi's eye gear,okulary Fifi
Puzzles/Part Names/TestMindGameHawkshaw part 7,a magnifying glass,szkło powiększające
Puzzles/Part Names/TestMindGameHawkshaw part 8,gemstones,kamienie szlachetne
Puzzles/Part Names/TestMindGameOpening part 1,Flora's portrait,portret Flory
Puzzles/Part Names/TestMindGameOpening part 2,blood,krew
Puzzles/Part Names/TestMindGameOpening part 3,a gramophone,gramofon
Puzzles/Part Names/TestMindGameOpening part 4,red paint,czerwona farba
Puzzles/Part Names/TestMindGameOpening part 5,a paint brush,pędzel
Puzzles/Part Names/TestMindGameOpening part 6,Freya Fellow,Freya Fellow
Puzzles/Part Names/TestMindGameOpening part 7,a paint palette,paleta z farbami
Puzzles/Part Names/TestMindGameOpening part 8,Flora Fellow,Flora Fellow
Puzzles/Part Names/TestMindGamePenny part 1,one of Penny's birds,jeden z ptaków Penny
Puzzles/Part Names/TestMindGamePenny part 2,Poppy and Fitz,Poppy i Fitz
Puzzles/Part Names/TestMindGamePenny part 3,Fifi and Fitz,Fifi i Fitz
Puzzles/Part Names/TestMindGamePenny part 4,Pointer and Fitz,Pointer i Fitz
Puzzles/Part Names/TestMindGamePenny part 5,Pointer's telescope,teleskop Pointera
Puzzles/Part Names/TestMindGamePenny part 6,Penny's flower,kwiat Penny
Puzzles/Part Names/TestMindGamePenny part 7,Freya and Fitz,Freya i Fitz
Puzzles/Part Names/TestMindGamePenny part 8,Flora's portrait,portret Flory
Puzzles/Part Names/TestMindGamePointer part 1,Pointer's telescope,teleskop Pointera
Puzzles/Part Names/TestMindGamePointer part 2,the crime scene,miejsce zbrodni
Puzzles/Part Names/TestMindGamePointer part 3,the moon,księżyc
Puzzles/Part Names/TestMindGamePointer part 4,the stars,gwiazdy
Puzzles/Part Names/TestMindGamePointer part 5,Felix,Felix
Puzzles/Part Names/TestMindGamePointer part 6,insects,owady
Puzzles/Part Names/TestMindGamePointer part 7,birds,ptaki
Puzzles/Part Names/TestMindGamePointer part 8,Penny,Penny
Puzzles/Part Names/TestMindGameStory2 part 1,Pointer,Pointer
Puzzles/Part Names/TestMindGameStory2 part 2,the golden beetle,złoty żuk
Puzzles/Part Names/TestMindGameStory2 part 3,the lake water,woda z jeziora
Puzzles/Part Names/TestMindGameStory2 part 4,Freya,Freya
Puzzles/Part Names/TestMindGameStory2 part 5,the inkdip bird,ptak inkdip
Puzzles/Part Names/TestMindGameStory2 part 6,a feather,pióro
Puzzles/Part Names/TestMindGameStory2 part 7,Flora's portrait,portret Flory
Puzzles/Part Names/TestMindGameStory2 part 8,a butterfly,motyl
